,video_id,country_trending,day_trending
0,rrImGpcnBgU,UY,2021-04-28
1,BsQw6KLlEsg,UY,2021-04-28
2,yK_ZyYKWk5g,UY,2021-04-28
3,YPQWtz0HJzI,UY,2021-04-28
4,F-19oLO9DUk,UY,2021-04-28
5,vLHWoCDVaQQ,UY,2021-04-28
6,VD7kZekJ_Sg,UY,2021-04-28
7,9fyB-TMVjmk,UY,2021-04-28
8,8BlQPORtSsQ,UY,2021-04-28
9,KDmSGalmjKI,UY,2021-04-28
10,UcFGqHfuxh8,UY,2021-04-28
11,ec5SGQIP0so,UY,2021-04-28
12,FE8HQfqWTTg,UY,2021-04-28
13,GgdITv92J3c,UY,2021-04-28
14,sQ44Zyablq4,UY,2021-04-28
15,apjWkX0RRi8,UY,2021-04-28
16,SGMOcSv2Kdw,UY,2021-04-28
17,qKJlkvg76lc,UY,2021-04-28
18,mg76LyeBa2w,UY,2021-04-28
19,KQSzcpyxUGs,UY,2021-04-28
20,NyC3Yk81sZc,UY,2021-04-28
21,JmZ9k96RuKk,UY,2021-04-28
22,eezoGG-ac5w,UY,2021-04-28
23,XtxbcFxXYnI,UY,2021-04-28
24,RhXmRPF1ELs,UY,2021-04-28
25,3P4hC1lVths,UY,2021-04-28
26,Z_ZtMjyIHWI,UY,2021-04-28
27,i45nya8gTiY,UY,2021-04-28
28,rMlo4-tSges,UY,2021-04-28
29,hxzxQ4Sgdnc,UY,2021-04-28
30,2lxGCQtgmEY,UY,2021-04-28
31,Ei5TDbEdCxw,UY,2021-04-28
32,EjToEUlw7BA,UY,2021-04-28
33,pPc5xvhchqU,UY,2021-04-28
34,I0tCDI9b2UU,UY,2021-04-28
35,66TYJJObd6E,UY,2021-04-28
36,d1HoXDc15Fk,UY,2021-04-28
37,i1G2CnT2STQ,UY,2021-04-28
38,ajQTpIyAXI4,UY,2021-04-28
39,mO0p1-W2dAA,UY,2021-04-28
40,BXKU8PfDcxk,UY,2021-04-28
41,s4W428ivQ6c,UY,2021-04-28
42,NIP4tv2TKXM,UY,2021-04-28
43,59QPLCGUDdY,UY,2021-04-28
44,OzXnNSwoE1A,UY,2021-04-28
45,ip92sB6BKXo,UY,2021-04-28
46,Hv074Z5JwqI,UY,2021-04-28
47,yfy7M5eG1HI,UY,2021-04-28
48,zTuigQJkhBk,UY,2021-04-28
49,G-5DAXeNaes,UY,2021-04-28
50,m73ZJvNyw64,UY,2021-04-28
51,NLcim9EPx6c,UY,2021-04-28
52,hfeGGgfK7bM,UY,2021-04-28
53,L5nCWyXgHIE,UY,2021-04-28
54,zigF4-f4Cx4,UY,2021-04-28
55,Fc7-Oe0tj5k,UY,2021-04-28
56,PmjAut3utbU,UY,2021-04-28
57,Jz1QcsYL00w,UY,2021-04-28
58,u03-6xBVpoc,UY,2021-04-28
59,OGM8fCBjiH8,UY,2021-04-28
60,eIbOzZeyXh4,UY,2021-04-28
61,BByx-QYl9R0,UY,2021-04-28
62,tIgDnzPOVvs,UY,2021-04-28
63,1qNhsoF2LbY,UY,2021-04-28
64,xjqYxlHTQW8,UY,2021-04-28
65,l4kd25hvkUY,UY,2021-04-28
66,ChZaqqoNg-0,UY,2021-04-28
67,PduN99LtoPk,UY,2021-04-28
68,nAvtrZc0NqM,UY,2021-04-28
69,0Mq4Xdo0EBQ,UY,2021-04-28
70,oyNfQIvDyDo,UY,2021-04-28
71,IAQ1aYZfSyI,UY,2021-04-28
72,CMyu2H56DBk,UY,2021-04-28
73,338KrGR2He4,UY,2021-04-28
74,fi1gT23EtOo,UY,2021-04-28
75,p-6gvYgyH6U,UY,2021-04-28
76,kLL-jQNQAyc,UY,2021-04-28
77,pFv-iMnrBwk,UY,2021-04-28
78,GLC9PsI4mis,UY,2021-04-28
79,FgQbXQnKHO0,UY,2021-04-28
80,aHDCrf2WwbY,UY,2021-04-28
81,JCEPHB1fjks,UY,2021-04-28
82,j3cS2ZeYS64,UY,2021-04-28
83,m4pGOxKCoc4,UY,2021-04-28
84,KWmL5SkRtzk,UY,2021-04-28
85,B8tAh1YmHBQ,UY,2021-04-28
86,LIIDh-qI9oI,UY,2021-04-28
87,Nwav1Xoee6s,UY,2021-04-28
88,lqyFuIZWvy8,UY,2021-04-28
89,DXdhx2jB3WI,UY,2021-04-28
90,NOXnQxIFagY,UY,2021-04-28
91,VdBUlTD08C8,UY,2021-04-28
92,W0hJzGXr5ss,UY,2021-04-28
93,yZxTUQnjEhY,UY,2021-04-28
94,8pD9DOuD-O8,UY,2021-04-28
95,cSI9gtLxguQ,UY,2021-04-28
96,q-ViHr5TELc,UY,2021-04-28
97,PeLIgGrEOnA,UY,2021-04-28
98,o8aMPODRkjc,UY,2021-04-28
99,yrObAcP5NEA,UY,2021-04-28
100,SW6L_lTrIFg,UY,2021-04-28
101,2Ed9cexJ1U0,UY,2021-04-28
102,hAxqygRdM4g,UY,2021-04-28
103,kh-WqehT23c,UY,2021-04-28
104,5KqdnlW0YKY,UY,2021-04-28
105,GUfRAu_pEY0,UY,2021-04-28
106,wE9iVzATmk4,UY,2021-04-28
107,_wE3hDN06Qg,UY,2021-04-28
108,xpr-QdpUVYg,UY,2021-04-28
109,2Rwu2jERObE,UY,2021-04-28
110,ALlLSxzAzS0,UY,2021-04-28
111,crnZT7DPqyo,UY,2021-04-28
112,i3Go1KvZdYc,UY,2021-04-28
113,LwATJ9sezfk,UY,2021-04-28
114,TSBiJ8zlPUk,UY,2021-04-28
115,q1lCEB683O8,UY,2021-04-28
116,CYo2hleHZ20,UY,2021-04-28
117,ubhFDonmPg0,UY,2021-04-28
118,valD7apHdvM,UY,2021-04-28
119,HrGwgANK20A,UY,2021-04-28
120,XegHMc35Bo8,UY,2021-04-28
121,0UgoLFvryBY,UY,2021-04-28
122,JasYNAEgehM,UY,2021-04-28
123,6n5XSaliLRA,UY,2021-04-28
124,G9iDK2LrhHw,UY,2021-04-28
125,YspVHSxhncI,UY,2021-04-28
126,3NqMZuylVbg,UY,2021-04-28
127,f7PMJ8dc4mI,UY,2021-04-28
128,V6aVRFy5sXs,UY,2021-04-28
129,y5KjHgWFX1U,UY,2021-04-28
130,TCGKC2Wa3Iw,UY,2021-04-28
131,EdS-OjNKnaU,UY,2021-04-28
132,jYjuNA9UUDA,UY,2021-04-28
133,pFicAT0TWAY,UY,2021-04-28
134,3-BRfzrUk1E,UY,2021-04-28
135,oshvcDjEKZc,UY,2021-04-28
136,En6OxiLJSZc,UY,2021-04-28
137,oxjx-oFG530,UY,2021-04-28
138,g7UBP7B_n2U,UY,2021-04-28
139,Qvv3NZftN1Q,UY,2021-04-28
140,SgLBsBKprkM,UY,2021-04-28
141,r2D17K-n_jo,UY,2021-04-28
142,UsShDgKWzfE,UY,2021-04-28
143,IGCNp2AgYHw,UY,2021-04-28
144,r_jfOh-Pf4s,UY,2021-04-28
145,yTzCpCbIPdo,UY,2021-04-28
146,KpMfrHIlrG4,UY,2021-04-28
147,YnKJ7iBNypw,UY,2021-04-28
148,MSjS423ADDI,UY,2021-04-28
149,S8nlMJfE6pc,UY,2021-04-28
150,w_I3BpXgc9E,UY,2021-04-28
151,SpzERUcilx4,UY,2021-04-28
152,y43rmAQ-l_M,UY,2021-04-28
153,RLqK453rQR4,UY,2021-04-28
154,Ag-c9_vRR9U,UY,2021-04-28
155,L1lnoM3-h-Q,UY,2021-04-28
156,bKCwfuxK3Bg,UY,2021-04-28
157,J2KVwfxTbfo,UY,2021-04-28
158,P4JsiA0FEoQ,UY,2021-04-28
159,OTyibPbxafs,UY,2021-04-28
160,TWKc5QyWDTw,UY,2021-04-28
161,vkKqEmaKUXI,UY,2021-04-28
162,oPjbHwxr-NM,UY,2021-04-28
163,CEkYUfiwWvU,UY,2021-04-28
164,K8RpPCuuvQc,UY,2021-04-28
165,BNDl8DhrwzA,UY,2021-04-28
166,JdBYVNuky1M,UY,2021-04-28
167,v6A1xPvyIIg,UY,2021-04-28
168,2SmijZvJfvM,UY,2021-04-28
169,w2ZAwYtI6yU,UY,2021-04-28
170,zh9QnBnByI4,UY,2021-04-28
171,esbVYGRbY60,UY,2021-04-28
172,QeJgaHK3Khg,UY,2021-04-28
173,IJZaJBowMMc,UY,2021-04-28
174,byt1mF4ntvE,UY,2021-04-28
175,NYwHQFl_viU,UY,2021-04-28
176,UxfTDxxzjBE,UY,2021-04-28
177,BNyEkFg5Hbo,UY,2021-04-28
178,-xDdXCVapQA,UY,2021-04-28
179,A0fRxR77b_8,UY,2021-04-28
180,BFDyhBKBKq8,UY,2021-04-28
181,jWRMXiHhDjc,UY,2021-04-28
182,BSS8Y-0hOlY,UY,2021-04-28
183,v0nlO0j1WMc,UY,2021-04-28
184,n7iwpiGGJnk,UY,2021-04-28
185,HfvWcrDB0UA,UY,2021-04-28
186,ANCa44O5BSI,UY,2021-04-28
187,YN0vl1pBAl4,UY,2021-04-28
188,GaPbbnS8if0,UY,2021-04-28
189,sJWmAZSIU30,UY,2021-04-28
190,9Oqf5v4D_oc,UY,2021-04-28
191,QjbGs41mydI,UY,2021-04-28
192,BD77EOU8N3o,UY,2021-04-28
193,xLDQMzp7jcg,UY,2021-04-28
194,ojvT3IDmfmU,UY,2021-04-28
195,YnYS595Of1s,UY,2021-04-28
196,FTk9VD2nPuw,UY,2021-04-28
197,CDDzP-tW6XQ,UY,2021-04-28
198,YdCqdpEM0gw,UY,2021-04-28
199,SRm2Ch4oFWs,UY,2021-04-28
